,INSPECTION_STATUS,VIOLATION_CODE,VIOLATION_STATUS,INSPECTION_CATEGORY,PROPERTY_GROUP,LONGITUDE,LATITUDE,DEPARTMENT_BUREAU
79631,FAILED,CN107035,OPEN,COMPLAINT,small,-87.62407121,41.6881411,CONSERVATION
64673,FAILED,CN073054,COMPLIED,COMPLAINT,small,-87.58155373,41.76322007,CONSERVATION
24498,FAILED,EL0085,OPEN,COMPLAINT,small,-87.65414369,41.6930156,SPECIAL TASK FORCE
64847,FAILED,CN063014,OPEN,COMPLAINT,small,-87.66155011,41.73054934,CONSERVATION
24457,FAILED,NC2011,OPEN,COMPLAINT,small,-87.69658039,41.8966165,NEW CONSTRUCTION
80364,FAILED,CN015062,OPEN,COMPLAINT,small,-87.7132589,41.7698055,CONSERVATION
74390,FAILED,EV1110,COMPLIED,PERMIT,small,-87.63344132,41.9138643,ELEVATOR
23366,FAILED,CN107035,OPEN,COMPLAINT,small,-87.60531108,41.74568643,CONSERVATION
29119,FAILED,CN031013,OPEN,COMPLAINT,small,-87.72551692,41.87987261,SPECIAL TASK FORCE
66208,FAILED,NC5012,OPEN,COMPLAINT,small,-87.66860515,41.83578764,CONSERVATION
1056,CLOSED,CN193110,OPEN,COMPLAINT,small,-87.60286839,41.74997192,DEMOLITION
63670,FAILED,CN063024,OPEN,PERIODIC,small,-87.7288566,41.88343535,CONSERVATION
21365,FAILED,CN046013,OPEN,COMPLAINT,small,-87.67374518,41.77867247,CONSERVATION
4166,FAILED,CN196019,OPEN,COMPLAINT,small,-87.76435673,41.94579753,CONSERVATION
85250,FAILED,CN061014,OPEN,COMPLAINT,small,-87.66767244,41.98087816,CONSERVATION
40842,FAILED,CN190029,OPEN,PERIODIC,small,-87.6742752,41.97650978,CONSERVATION
41538,FAILED,CN138056,OPEN,COMPLAINT,small,-87.66744454,41.76967443,CONSERVATION
16894,CLOSED,CN193029,OPEN,COMPLAINT,small,-87.61299609999999,41.77741778,DEMOLITION
48040,FAILED,EV1111,COMPLIED,PERMIT,small,-87.63161085,41.90400775,ELEVATOR
51128,FAILED,CN063014,OPEN,COMPLAINT,small,-87.69343815,41.99922336,CONSERVATION
34553,CLOSED,CN002081,OPEN,COMPLAINT,small,-87.65569599999999,41.78456298,DEMOLITION
52900,FAILED,CN197079,OPEN,COMPLAINT,small,-87.66328402,41.79630169,CONSERVATION
35754,FAILED,CN190019,OPEN,COMPLAINT,small,-87.67131855,41.81340429,CONSERVATION
2442,FAILED,CN136016,OPEN,PERIODIC,small,-87.66081111,41.79457487,CONSERVATION
38932,FAILED,CN077014,OPEN,COMPLAINT,small,-87.66139895,41.80600422,SPECIAL TASK FORCE
55177,FAILED,CN063014,OPEN,COMPLAINT,small,-87.6105192,41.76331007,CONSERVATION
32641,FAILED,CN067014,OPEN,PERIODIC,small,-87.59686351,41.803158700000004,CONSERVATION
48919,PASSED,VT1010,OPEN,PERMIT,small,-87.62702193,41.90003175,VENTILATION
19521,FAILED,EV1110,OPEN,PERMIT,small,-87.63418484,41.89038185,ELEVATOR
51282,FAILED,NC2011,OPEN,COMPLAINT,small,-87.67436611,41.89765939,NEW CONSTRUCTION
26459,FAILED,EV1110,OPEN,PERIODIC,small,-87.64373411,41.85264079,ELEVATOR
36893,FAILED,CN079014,OPEN,COMPLAINT,small,-87.69320917,41.77770029,CONSERVATION
34653,FAILED,CN190019,OPEN,COMPLAINT,small,-87.68591114,41.86728957,CONSERVATION
12395,FAILED,CN190019,OPEN,COMPLAINT,small,-87.74378399999999,41.92604781,CONSERVATION
65773,FAILED,CN073044,OPEN,COMPLAINT,small,-87.70083853,41.7786324,CONSERVATION
28195,FAILED,EV1110,OPEN,PERIODIC,small,-87.63966499,41.93922164,ELEVATOR
18876,FAILED,CN198019,OPEN,PERIODIC,small,-87.71560373,41.86759272,CONSERVATION
25217,FAILED,PL153017,OPEN,COMPLAINT,small,-87.60979057,41.78327638,SPECIAL TASK FORCE
31269,CLOSED,CN193110,OPEN,COMPLAINT,small,-87.62219164,41.69706874,DEMOLITION
19409,FAILED,RF301051,OPEN,PERIODIC,small,-87.67686402,41.93102101,REFRIGERATION
70425,FAILED,CN196029,OPEN,COMPLAINT,small,-87.72391907,41.92074782,CONSERVATION
41078,FAILED,CN131026,OPEN,COMPLAINT,small,-87.61128447,41.76406357,CONSERVATION
35522,PASSED,EV1111,COMPLIED,PERIODIC,small,-87.66078914,41.83066932,ELEVATOR
69496,PASSED,EV1111,COMPLIED,PERMIT,small,-87.62193403,41.89687696,ELEVATOR
47060,FAILED,EL0085,OPEN,COMPLAINT,small,-87.72889520000001,41.86301134,SPECIAL TASK FORCE
8826,CLOSED,CN193000,OPEN,COMPLAINT,small,-87.59044709,41.75021641,DEMOLITION
31838,FAILED,CN190020,OPEN,COMPLAINT,small,-87.62647847,41.75650574,CONSERVATION
10573,FAILED,CN062024,OPEN,COMPLAINT,small,-87.70660969,41.89243882,CONSERVATION
67976,PASSED,BR2080,COMPLIED,PERIODIC,small,-87.68605496,41.94952795,BOILER
10261,FAILED,CN070024,OPEN,COMPLAINT,small,-87.67235734,41.90792309,CONSERVATION
13748,FAILED,CN107025,OPEN,COMPLAINT,small,-87.57016474,41.75926243,CONSERVATION
63230,CLOSED,CN193029,OPEN,COMPLAINT,small,-87.75599113,41.97260587,DEMOLITION
60125,FAILED,CN073014,OPEN,COMPLAINT,small,-87.70572323,41.80068469,CONSERVATION
23975,FAILED,CN104015,OPEN,COMPLAINT,small,-87.77414868,41.91032337,SPECIAL TASK FORCE
78665,CLOSED,CN193029,OPEN,COMPLAINT,small,-87.70527365,41.88900406,DEMOLITION
11887,FAILED,CN140016,OPEN,COMPLAINT,small,-87.55294405,41.73647883,CONSERVATION
48739,FAILED,CN076054,OPEN,COMPLAINT,small,-87.56765599,41.7549159,CONSERVATION
76604,FAILED,EV1110,OPEN,PERMIT,small,-87.62910562,41.87647043,ELEVATOR
66155,FAILED,EL0019,OPEN,COMPLAINT,small,-87.73346629999999,41.8788854,SPECIAL TASK FORCE
26591,FAILED,CN197019,OPEN,COMPLAINT,small,-87.69542882,41.97938320000001,CONSERVATION
12219,CLOSED,CN193110,OPEN,COMPLAINT,small,-87.65291067,41.68383116,DEMOLITION
78442,FAILED,CN104035,OPEN,COMPLAINT,small,-87.64101075,41.80814738,CONSERVATION
40750,FAILED,CN031013,OPEN,PERIODIC,small,-87.61569577,41.77714438,CONSERVATION
54996,PASSED,VT3020,COMPLIED,PERIODIC,small,-87.62432497,41.90023936,VENTILATION
3224,FAILED,EL0006,OPEN,COMPLAINT,small,-87.61835376,41.70202272,ELECTRICAL
25620,FAILED,CN076044,OPEN,PERIODIC,small,-87.74591783,41.89387273,CONSERVATION
55398,FAILED,EL0029,OPEN,COMPLAINT,small,-87.72864564,41.90365259,CONSERVATION
52005,FAILED,CN067024,OPEN,COMPLAINT,small,-87.70937087,41.78081349,CONSERVATION
73943,FAILED,PL157047,OPEN,COMPLAINT,small,-87.63319692,41.67983552,CONSERVATION
71835,FAILED,PL194029,OPEN,COMPLAINT,small,-87.74426049,41.8086035,SPECIAL TASK FORCE
76198,FAILED,CN192019,OPEN,PERIODIC,small,-87.64099923,41.82727787,CONSERVATION
5840,FAILED,CN070014,OPEN,COMPLAINT,small,-87.67448796,42.00886686,CONSERVATION
66720,FAILED,CN190019,OPEN,COMPLAINT,small,-87.70561852,41.86945647,CONSERVATION
79918,FAILED,CN076014,OPEN,COMPLAINT,small,-87.73076762,41.80734917,PLUMBING
18322,FAILED,CN070014,OPEN,COMPLAINT,small,-87.76592266,41.77513551,CONSERVATION
30951,FAILED,EL0016,OPEN,COMPLAINT,small,-87.72004369,41.94079911,ELECTRICAL
21978,FAILED,EV1110,OPEN,PERIODIC,small,-87.56849041,41.77344669,ELEVATOR
71019,FAILED,CN062024,OPEN,PERIODIC,small,-87.65282389,41.94239613,CONSERVATION
54999,FAILED,VT1050,OPEN,PERIODIC,small,-87.79275105,41.92692481,VENTILATION
56255,PASSED,EV1111,COMPLIED,PERIODIC,small,-87.66078914,41.83066932,ELEVATOR
30560,FAILED,CN076034,OPEN,COMPLAINT,small,-87.61195162,41.74557554,CONSERVATION
81240,FAILED,EV1111,OPEN,COMPLAINT,small,-87.55731992,41.76091452,ELEVATOR
46821,FAILED,CN140016,OPEN,PERIODIC,small,-87.57959036,41.75167084,CONSERVATION
79360,FAILED,CN067024,OPEN,COMPLAINT,small,-87.72337619,41.97144977,CONSERVATION
8001,CLOSED,BR2080,OPEN,PERIODIC,small,-87.74925162,41.87010188,BOILER
78607,PASSED,EL0024,OPEN,COMPLAINT,small,-87.72187293,41.88396463,SPECIAL TASK FORCE
80843,FAILED,CN197019,OPEN,PERIODIC,small,-87.68546429,42.01938741,CONSERVATION
53634,FAILED,VT1050,OPEN,PERIODIC,small,-87.62848137,41.90146342,VENTILATION
6845,FAILED,RF301031,OPEN,PERIODIC,small,-87.7224444,41.77204699,REFRIGERATION
306,FAILED,CN070014,OPEN,COMPLAINT,large,-87.68024812,41.90209396,CONSERVATION
9864,FAILED,NC2071,OPEN,COMPLAINT,small,-87.78557051,41.964316700000005,CONSERVATION
31699,FAILED,CN101015,OPEN,COMPLAINT,small,-87.65979513,41.95106405,CONSERVATION
58929,CLOSED,CN002052,OPEN,COMPLAINT,small,-87.63592852,41.75300679,DEMOLITION
60225,FAILED,CN063024,OPEN,COMPLAINT,small,-87.76582114,41.91130987,CONSERVATION
32481,CLOSED,CN193019,OPEN,COMPLAINT,small,-87.71493608,41.74697367,DEMOLITION
51882,FAILED,CN077014,OPEN,PERIODIC,small,-87.64950096,41.94259742,CONSERVATION
34660,FAILED,CN061014,OPEN,PERIODIC,small,-87.69675889,41.90398156,SPECIAL INSPECTION PROGRAM
13132,CLOSED,CN002081,OPEN,COMPLAINT,small,-87.67030648,41.67807305,DEMOLITION
69103,CLOSED,CN193000,OPEN,COMPLAINT,small,-87.66747219,41.8057634,DEMOLITION
81968,FAILED,VT1010,OPEN,PERMIT,small,-87.63230374,41.88582205,VENTILATION
72446,FAILED,CN077024,OPEN,COMPLAINT,small,-87.70512943,41.85249217,SPECIAL INSPECTION PROGRAM
54284,FAILED,CN103015,OPEN,COMPLAINT,small,-87.77205264,41.88363584,CONSERVATION
55014,FAILED,EL0066,OPEN,COMPLAINT,small,-87.60821412,41.69929846,SPECIAL TASK FORCE
56011,FAILED,CN107025,OPEN,COMPLAINT,small,-87.64437895,41.935033000000004,SPECIAL INSPECTION PROGRAM
55457,FAILED,CN079014,OPEN,COMPLAINT,small,-87.67647384,41.85685206,CONSERVATION
77559,FAILED,CN076044,OPEN,COMPLAINT,small,-87.69439009,41.85280016,CONSERVATION
70696,FAILED,CN061014,OPEN,COMPLAINT,small,-87.65797309,41.94251191,CONSERVATION
7639,CLOSED,CN193019,OPEN,COMPLAINT,small,-87.65296548,41.68548414,DEMOLITION
74513,FAILED,CN063014,OPEN,PERIODIC,small,-87.58025682,41.76418243,CONSERVATION
51880,FAILED,CN065014,OPEN,PERIODIC,small,-87.64950096,41.94259742,CONSERVATION
5130,FAILED,CN197039,OPEN,COMPLAINT,small,-87.61173952,41.76405654,CONSERVATION
69199,FAILED,PL236020,OPEN,COMPLAINT,small,-87.75034249,41.94802425,PLUMBING
25308,FAILED,EL0029,OPEN,COMPLAINT,small,-87.74732441,41.93345608,CONSERVATION
65276,FAILED,CN061014,OPEN,COMPLAINT,small,-87.6526218,41.79514326,CONSERVATION
59009,FAILED,CN190019,OPEN,COMPLAINT,small,-87.73920689,41.93473814,CONSERVATION
25910,FAILED,CN196039,OPEN,COMPLAINT,small,-87.56613336,41.75408884,CONSERVATION
59823,FAILED,CN198019,OPEN,COMPLAINT,small,-87.76252544,41.89932833,CONSERVATION
38936,FAILED,CN063014,OPEN,COMPLAINT,small,-87.71636834,41.89229382,SPECIAL TASK FORCE
63486,FAILED,CN015012,OPEN,COMPLAINT,small,-87.65076707,41.8588809,CONSERVATION
27313,FAILED,CN061014,OPEN,COMPLAINT,small,-87.69718281,41.78905112,CONSERVATION
74181,FAILED,EV1110,OPEN,PERMIT,small,-87.63382966,41.87949547,ELEVATOR
18897,FAILED,CN067024,OPEN,COMPLAINT,small,-87.66999878,41.90007601,CONSERVATION
35193,FAILED,CN074014,OPEN,COMPLAINT,small,-87.76201674,41.91213333,CONSERVATION
20180,FAILED,NC2011,OPEN,COMPLAINT,small,-87.79665139,41.93408098,CONSERVATION
80226,PASSED,VT1010,COMPLIED,PERMIT,small,-87.68362313,41.97790164,VENTILATION
14015,FAILED,CN198019,OPEN,COMPLAINT,small,-87.62414515,41.7912484,CONSERVATION
72678,FAILED,CN190019,OPEN,PERIODIC,small,-87.65619552,41.92588088,CONSERVATION
4645,FAILED,CN190019,OPEN,COMPLAINT,small,-87.77317993,41.88330656,CONSERVATION
17288,FAILED,CN070024,OPEN,COMPLAINT,small,-87.57120375,41.74851638,CONSERVATION
80048,FAILED,EL0096,OPEN,COMPLAINT,small,-87.61410753,41.89127929,SIGNS
54917,FAILED,CN062024,OPEN,PERIODIC,small,-87.65122136,41.95587502,CONSERVATION
74870,FAILED,CN190019,OPEN,COMPLAINT,small,-87.56595763,41.72945861,CONSERVATION
26043,CLOSED,CN193039,COMPLIED,COMPLAINT,small,-87.71407413,41.85672575,DEMOLITION
5709,CLOSED,CN193110,OPEN,COMPLAINT,small,-87.61371059999999,41.74574489,DEMOLITION
64172,FAILED,CN061014,OPEN,PERIODIC,small,-87.56524376,41.75574538,CONSERVATION
38191,CLOSED,CN193110,OPEN,COMPLAINT,small,-87.72271456,41.90027423,DEMOLITION
78174,CLOSED,CN193110,OPEN,COMPLAINT,small,-87.70662711,41.87106463,DEMOLITION
16240,FAILED,CN190019,OPEN,COMPLAINT,small,-87.63996094,41.84257127,CONSERVATION
16928,CLOSED,CN193110,OPEN,COMPLAINT,small,-87.73477428,41.88446522,DEMOLITION
54294,CLOSED,CN002081,OPEN,COMPLAINT,small,-87.6336536,41.79404172,DEMOLITION
